type_of_house;street;house_number
house;Ильменская улица;30
house;Ильменская улица;20.янв
house;Ильменская улица;84
house;Ильменская улица;48
house;Ильменская улица;32
yes;Ильменская улица;70А
house;Ильменская улица;46
house;Ильменская улица;10
house;Ильменская улица;8
house;Ильменская улица;66
house;Ильменская улица;90/1
house;Ильменская улица;62
house;Ильменская улица;64
commercial;Ильменская улица;70
house;Ильменская улица;68
house;Ильменская улица;55/2
residential;Ильменская улица;31
house;Ильменская улица;35
yes;Ильменская улица;19
yes;Ильменская улица;49
house;Ильменская улица;43
residential;Ильменская улица;59/2
residential;Ильменская улица;33
house;Ильменская улица;53
house;Ильменская улица;39
house;Ильменская улица;55/1
residential;Ильменская улица;61/8
house;Ильменская улица;47
house;Ильменская улица;33/1
house;Ильменская улица;51
yes;Ильменская улица;27
yes;Ильменская улица;65
yes;Ильменская улица;55/4
yes;Ильменская улица;25
house;Ильменская улица;45
house;Ильменская улица;5
yes;Ильменская улица;7
house;Ильменская улица;17
house;Ильменская улица;11
house;Ильменская улица;9
yes;Ильменская улица;3
house;Ильменская улица;61/1А
residential;Ильменская улица;59
residential;Ильменская улица;57/9
residential;Ильменская улица;61
residential;Ильменская улица;63/2
residential;Ильменская улица;57
residential;Ильменская улица;59/4
residential;Ильменская улица;63
yes;Кеши Алексеева;3 к1
yes;Мерзлотная улица;16
yes;Мерзлотная улица;33/4
yes;Мерзлотная улица;14
civic;Мерзлотная улица;33
yes;Мерзлотная улица;17
yes;Мерзлотная улица;26
yes;Мерзлотная улица;28/2В
yes;Мерзлотная улица;27.фев
yes;Мерзлотная улица;35/1а
yes;Мерзлотная улица;20.фев
yes;Мерзлотная улица;23
yes;Мерзлотная улица;21
yes;Мерзлотная улица;38
yes;Мерзлотная улица;18Д
yes;Мерзлотная улица;6
yes;Мерзлотная улица;35
yes;Мерзлотная улица;08.фев
yes;Мерзлотная улица;25
yes;Мерзлотная улица;18
yes;Мерзлотная улица;5
yes;Мерзлотная улица;22.янв
yes;Мерзлотная улица;20.янв
yes;Мерзлотная улица;22
yes;Мерзлотная улица;8А
yes;Мерзлотная улица;40
yes;Мерзлотная улица;27
yes;Мерзлотная улица;5нс
yes;Мерзлотная улица;28А
yes;Мерзлотная улица;24
yes;Мерзлотная улица;27.янв
yes;Мерзлотная улица;30
yes;Мерзлотная улица;35/1
yes;Мерзлотная улица;7
yes;Мерзлотная улица;19
yes;Мерзлотная улица;36
yes;Мерзлотная улица;22.фев
yes;Мерзлотная улица;39
yes;Мерзлотная улица;8
yes;Мерзлотная улица;07.янв
yes;Мерзлотная улица;8/2А
yes;Мерзлотная улица;32
yes;Мерзлотная улица;33/1
yes;Мерзлотная улица;41
yes;Мерзлотная улица;33/4
hospital;Мерзлотная улица;42
yes;Мерзлотная улица;9
yes;Мерзлотная улица;10
yes;Мерзлотная улица;13
yes;Мерзлотная улица;12
yes;Мерзлотная улица;15
yes;Мерзлотная улица;11
yes;Мерзлотная улица;31
yes;Мерзлотная улица;15.янв
yes;Мерзлотная улица;28
yes;Мерзлотная улица;29
detached;Новая улица;6
house;Ново-Карьерная улица;22.авг
house;Ново-Карьерная улица;1
shop;Ново-Карьерная улица;24.янв
house;Ново-Карьерная улица;22.сен
yes;Ново-Карьерная улица;16 к2
house;Ново-Карьерная улица;22.июл
detached;Ново-Карьерная улица;22/14
detached;Ново-Карьерная улица;20
yes;Ново-Карьерная улица;27/2а
detached;Ново-Карьерная улица;27.янв
detached;Ново-Карьерная улица;25.фев
detached;Ново-Карьерная улица;27.фев
house;Ново-Карьерная улица;29/2
house;Ново-Карьерная улица;29.апр
house;Ново-Карьерная улица;29.мар
house;Ново-Карьерная улица;33
house;Ново-Карьерная улица;35
house;Ново-Карьерная улица;37
detached;Ново-Карьерная улица;32/5
detached;Ново-Карьерная улица;22.мар
residential;Ново-Карьерная улица;29
house;Ново-Карьерная улица;7
apartments;Ново-Карьерная улица;22.фев
house;Ново-Карьерная улица;07.янв
residential;Ново-Карьерная улица;17
apartments;Ново-Карьерная улица;20.апр
yes;Ново-Карьерная улица;12
shop;Ново-Карьерная улица;16 к1
residential;Ново-Карьерная улица;29.янв
residential;Ново-Карьерная улица;21
residential;Ново-Карьерная улица;27
house;Ново-Карьерная улица;22.апр
garages;Ново-Карьерная улица;20Г
house;Ново-Карьерная улица;5
apartments;Ново-Карьерная улица;20.мар
detached;Ново-Карьерная улица;22
house;Ново-Карьерная улица;9
apartments;Ново-Карьерная улица;20.фев
apartments;Ново-Карьерная улица;20.янв
detached;Ново-Карьерная улица;34/2
yes;Ново-Карьерная улица;16
house;Ново-Карьерная улица;3
house;Ново-Карьерная улица;22.июн
house;Ново-Карьерная улица;13
residential;Ново-Карьерная улица;25
house;Ново-Карьерная улица;11
detached;Ново-Карьерная улица;23А
yes;Ново-Карьерная улица;18
house;Ново-Карьерная улица;22.май
apartments;Ново-Карьерная улица;31
residential;Ново-Карьерная улица;23
yes;Ново-Карьерная улица;4
yes;Ново-Карьерная улица;02.янв
yes;Ново-Карьерная улица;2
yes;Ново-Карьерная улица;04.янв
yes;Ново-Карьерная улица;10
yes;Ново-Карьерная улица;6
yes;Ново-Карьерная улица;8
detached;Ново-Сайсарская улица;20
detached;Ново-Сайсарская улица;06.янв
detached;Ново-Сайсарская улица;5/3b
detached;Ново-Сайсарская улица;16Б
detached;Ново-Сайсарская улица;07.янв
