type_of_house;street;house_number
apartments;улица Широких-Полянских;09.фев
house;улица Широких-Полянских;08.фев
apartments;улица Широких-Полянских;8
apartments;улица Широких-Полянских;3
yes;улица Широких-Полянских;9В
apartments;улица Широких-Полянских;9
apartments;улица Широких-Полянских;11.фев
house;улица Широких-Полянских;8А
apartments;улица Широких-Полянских;09.янв
apartments;улица Широких-Полянских;10
apartments;улица Широких-Полянских;05.фев
apartments;улица Широких-Полянских;09.мар
apartments;улица Широких-Полянских;07.янв
apartments;улица Широких-Полянских;12
apartments;улица Широких-Полянских;05.янв
apartments;улица Широких-Полянских;13
apartments;улица Широких-Полянских;5
apartments;улица Широких-Полянских;11
apartments;улица Широких-Полянских;7
yes;улица Широких-Полянских;9Б
yes;улица Якова Потапова;14А
school;улица Якова Потапова;4
yes;улица Якова Потапова;14.фев
yes;улица Якова Потапова;20
residential;улица Якова Потапова;27.янв
yes;улица Якова Потапова;6А
yes;улица Якова Потапова;10.янв
yes;улица Якова Потапова;14В
apartments;улица Якова Потапова;08.янв
yes;улица Якова Потапова;14.янв
residential;улица Якова Потапова;13.май
yes;улица Якова Потапова;1 к1
yes;улица Якова Потапова;11В
house;улица Якова Потапова;14/1 к1
house;улица Якова Потапова;14/2 к2
yes;улица Якова Потапова;12.янв
apartments;улица Якова Потапова;18
apartments;улица Якова Потапова;07.янв
yes;улица Якова Потапова;1
apartments;улица Якова Потапова;10.фев
apartments;улица Якова Потапова;16
apartments;улица Якова Потапова;15.янв
apartments;улица Якова Потапова;11.янв
apartments;улица Якова Потапова;7
apartments;улица Якова Потапова;10.мар
apartments;улица Якова Потапова;17.янв
apartments;улица Якова Потапова;13
apartments;улица Якова Потапова;8
apartments;улица Якова Потапова;06.янв
apartments;улица Якова Потапова;14
apartments;улица Якова Потапова;19.янв
apartments;улица Якова Потапова;5
apartments;улица Якова Потапова;19
apartments;улица Якова Потапова;16.янв
apartments;улица Якова Потапова;03.янв
apartments;улица Якова Потапова;6
apartments;улица Якова Потапова;9
apartments;улица Якова Потапова;3
apartments;улица Якова Потапова;05.янв
apartments;улица Якова Потапова;17
yes;улица Якова Потапова;4А
